Date,Time,Open,High,Low,Close,Volume
2023/8/30,11:41:00,556,556,556,556,1
2023/8/30,11:42:00,557,557,556,556,9
2023/8/30,11:43:00,556,557,556,557,7
2023/8/30,11:44:00,557,557,557,557,2
2023/8/30,11:45:00,556,557,556,557,9
2023/8/30,11:46:00,556,556,556,556,1
2023/8/30,11:47:00,556,557,556,557,5
2023/8/30,11:48:00,557,557,556,556,6
2023/8/30,11:49:00,556,556,556,556,6
2023/8/30,11:50:00,557,557,556,556,8
2023/8/30,11:51:00,556,557,556,557,4
2023/8/30,11:52:00,557,557,556,556,11
2023/8/30,11:53:00,557,557,556,556,10
2023/8/30,11:54:00,557,557,556,557,10
2023/8/30,11:55:00,557,557,556,557,7
2023/8/30,11:56:00,556,556,556,556,2
2023/8/30,11:57:00,557,557,556,557,5
2023/8/30,11:58:00,557,557,556,556,5
2023/8/30,11:59:00,557,557,556,556,11
2023/8/30,12:00:00,557,557,556,557,9
2023/8/30,12:01:00,556,557,556,557,7
2023/8/30,12:02:00,557,557,556,557,8
2023/8/30,12:03:00,557,557,556,557,40
2023/8/30,12:04:00,556,557,556,556,11
2023/8/30,12:05:00,557,557,556,556,9
2023/8/30,12:06:00,556,557,556,556,7
2023/8/30,12:07:00,556,557,556,557,3
2023/8/30,12:08:00,557,557,556,557,8
2023/8/30,12:09:00,556,557,556,556,12
2023/8/30,12:10:00,556,556,556,556,8
2023/8/30,12:11:00,556,557,556,557,3
2023/8/30,12:12:00,557,557,556,556,18
2023/8/30,12:13:00,557,557,556,556,20
2023/8/30,12:14:00,556,556,556,556,5
2023/8/30,12:15:00,557,557,556,556,15
2023/8/30,12:16:00,557,557,556,556,9
2023/8/30,12:17:00,556,557,556,557,11
2023/8/30,12:18:00,556,556,556,556,4
2023/8/30,12:19:00,556,557,556,557,17
2023/8/30,12:20:00,557,557,556,557,13
2023/8/30,12:21:00,556,557,556,557,18
2023/8/30,12:22:00,556,557,556,556,11
2023/8/30,12:23:00,556,557,556,556,17
2023/8/30,12:24:00,556,557,556,556,10
2023/8/30,12:25:00,556,557,556,557,13
2023/8/30,12:26:00,556,557,556,556,41
2023/8/30,12:27:00,556,557,556,556,17
2023/8/30,12:28:00,556,557,556,556,6
2023/8/30,12:29:00,556,557,556,557,13
2023/8/30,12:30:00,556,557,556,556,29
2023/8/30,12:31:00,557,557,556,556,27
2023/8/30,12:32:00,556,557,556,557,24
2023/8/30,12:33:00,557,557,556,556,22
2023/8/30,12:34:00,557,557,556,556,10
2023/8/30,12:35:00,557,557,556,557,39
2023/8/30,12:36:00,557,557,556,557,17
2023/8/30,12:37:00,556,557,556,556,13
2023/8/30,12:38:00,556,557,556,557,15
2023/8/30,12:39:00,556,557,556,556,19
2023/8/30,12:40:00,557,557,556,556,9
2023/8/30,12:41:00,556,557,556,556,45
2023/8/30,12:42:00,557,557,556,557,73
2023/8/30,12:43:00,557,557,556,557,10
2023/8/30,12:44:00,557,557,556,556,7
2023/8/30,12:45:00,556,557,556,556,23
2023/8/30,12:46:00,556,557,556,556,14
2023/8/30,12:47:00,557,557,556,556,7
2023/8/30,12:48:00,557,557,556,556,140
2023/8/30,12:49:00,556,557,556,556,25
2023/8/30,12:50:00,557,557,556,557,38
2023/8/30,12:51:00,557,557,556,556,10
2023/8/30,12:52:00,556,557,556,556,17
2023/8/30,12:53:00,556,557,556,557,19
2023/8/30,12:54:00,556,557,556,557,21
2023/8/30,12:55:00,557,557,557,557,4
2023/8/30,12:56:00,556,557,556,556,23
2023/8/30,12:57:00,557,557,557,557,3
2023/8/30,12:58:00,556,557,556,556,21
2023/8/30,12:59:00,556,557,556,556,12
2023/8/30,13:00:00,557,557,556,557,43
2023/8/30,13:01:00,557,557,555,556,635
2023/8/30,13:02:00,556,556,554,555,1167
2023/8/30,13:03:00,555,555,554,555,225
2023/8/30,13:04:00,556,556,555,556,87
2023/8/30,13:05:00,556,556,555,556,175
2023/8/30,13:06:00,556,556,555,556,72
2023/8/30,13:07:00,556,556,555,556,88
2023/8/30,13:08:00,556,556,555,556,70
2023/8/30,13:09:00,556,556,555,556,83
2023/8/30,13:10:00,556,556,555,556,148
2023/8/30,13:11:00,556,556,555,556,59
2023/8/30,13:12:00,556,556,555,556,97
2023/8/30,13:13:00,556,556,555,556,86
2023/8/30,13:14:00,556,556,555,556,95
2023/8/30,13:15:00,556,556,555,556,115
2023/8/30,13:16:00,556,556,555,556,141
